"Fungal","Male","est","day","lower","upper","Treatment","Sex"
0,0,1,1,1,1,"Control","Female"
0,0,0.999953656656149,2,0.999891851725963,0.999987813350838,"Control","Female"
0,0,0.999829619917876,3,0.99968168163778,0.9999427697568,"Control","Female"
0,0,0.999751753372621,4,0.99956616350696,0.999903345256107,"Control","Female"
0,0,0.999181466941301,5,0.998735596980736,0.999574043276035,"Control","Female"
0,0,0.99781264450139,6,0.996687078523607,0.998778536207991,"Control","Female"
0,0,0.9952146879385,7,0.992909504510786,0.99724534402484,"Control","Female"
0,0,0.991859033435057,8,0.988140931052986,0.995294454422049,"Control","Female"
0,0,0.989819030461565,9,0.985112766536338,0.9941565595555,"Control","Female"
0,0,0.987183178209597,10,0.981205118844546,0.992685205934654,"Control","Female"
0,0,0.984347637059573,11,0.977261804263049,0.991018043544382,"Control","Female"
0,0,0.981771484038596,12,0.973621063693786,0.989543560196598,"Control","Female"
0,0,0.978793369751604,13,0.96939326409755,0.987778305517392,"Control","Female"
0,0,0.976444095669736,14,0.966148624130972,0.986452857828228,"Control","Female"
0,0,0.973720966360764,15,0.962136654602475,0.984875635866518,"Control","Female"
0,0,0.971455603519027,16,0.959202088862637,0.983541363397763,"Control","Female"
0,0,0.969225526922169,17,0.956137546124036,0.982204150184633,"Control","Female"
0,0,0.966784743274075,18,0.95246600810478,0.980749843928905,"Control","Female"
0,0,0.965538700551009,19,0.95106471417072,0.980006314378751,"Control","Female"
0,1,1,1,1,1,"Control","Male"
0,1,0.999977253450842,2,0.99992039117338,0.999999999985561,"Control","Male"
0,1,0.999916370270514,3,0.999759218585592,0.99999999994325,"Control","Male"
0,1,0.999878147670398,4,0.999668664118162,0.999999999909153,"Control","Male"
0,1,0.999598163128565,5,0.998964163904386,0.999999999674093,"Control","Male"
0,1,0.998925801728064,6,0.997326064263136,0.999999999067128,"Control","Male"
0,1,0.997648400580337,7,0.99406788733159,0.99999999786285,"Control","Male"
0,1,0.995995927916357,8,0.989973079230777,0.999999996277611,"Control","Male"
0,1,0.993836684533757,9,0.987922979036258,0.99825565392636,"Control","Male"
0,1,0.991047120470469,10,0.984850233884624,0.996000560695236,"Control","Male"
0,1,0.988046672504646,11,0.98125257605865,0.993708407642372,"Control","Male"
0,1,0.985321103353112,12,0.97735641330085,0.991836323782656,"Control","Male"
0,1,0.982170741628707,13,0.972986496395564,0.990026919908495,"Control","Male"
0,1,0.979685956685042,14,0.968878890753149,0.988537779510572,"Control","Male"
0,1,0.97680615663773,15,0.964639007764511,0.986814467945493,"Control","Male"
0,1,0.974410791899392,16,0.960833382559298,0.985575218410308,"Control","Male"
0,1,0.972053033590607,17,0.956764397507399,0.984269971395456,"Control","Male"
